Año;Mes;Total RISS;Centro Oriente;Norte;Sur;Sur Occidente;Sede priorizada Santa Clara;Sede priorizada Engativá Calle 80;Sede priorizada Simón Bolívar;Sede priorizada El Tunal;Sede priorizada Hospital de Bosa;Sede priorizada Occidente de Kennedy
2025;Enero;108,23%;102,09%;87,77%;118,78%;144,36%;129,39%;86,96%;109,23%;204,76%;252,03%;198,05%
2025;Febrero;118,20%;106,19%;92,95%;121,80%;171,24%;133,43%;86,17%;119,20%;212,04%;315,46%;222,68%
2025;Marzo;126,31%;109,62%;94,69%;147,66%;184,03%;140,44%;86,83%;123,67%;249,41%;294,30%;234,04%
2025;Abril;129,61%;96,27%;103,57%;143,57%;211,73%;105,95%;97,46%;129,64%;233,75%;312,90%;249,19%
2025;Mayo;143,99%;102,96%;111,83%;163,39%;224,66%;111,52%;97,60%;152,75%;246,69%;354,52%;256,14%
2025;Junio;136,59%;94,24%;113,12%;176,40%;199,74%;93,61%;98,33%;150,90%;246,16%;304,33%;239,72%
2025;Julio;135,66%;88,89%;116,87%;148,93%;219,34%;102,15%;102,80%;157,31%;271,34%;268,25%;267,34%
2025;Agosto;126,13%;75,82%;111,13%;152,40%;192,10%;83,90%;115,35%;149,39%;278,58%;179,98%;273,86%
2025;Septiembre;132,52%;78,91%;110,55%;159,42%;197,42%;94,32%;98,32%;158,61%;281,30%;137,83%;280,92%
;;;;;;;;;;;;
;;;;;;;;;;;;
