METADATO;DESCRIPCIÓN
Serie de tiempo desde;2017 - 2021
Definición del indicador;Mide el promedio de minutos por hogares que, al momento de la encuesta, el jefe del hogar informó como el tiempo que gastan caminando, en promedio, las personas de este hogar para llegar al centro médico más cercano a la vivienda
Utilidad;Indicador de caracter poblacional con desagregación por localidad
Periodicidad;Trienal
Fuente de Información;DANE y SDP - Encuesta Multipropósito 2017 y 2021
Año;Periodo de recolección de la información 
Localidad;Localidad del Distrito donde reside la persona que contesto la pregunta
Indicador;Promedio expresado en minutos
Promedio;Promedio de minutos que gastan caminando integrantes de un mismo hogar al centro de salud más cercano
